location,tweets,latitute,longitute
Alexandria VA,13,38.8048355,-77.0469214
Arlington VA,27,38.8799697,-77.1067698
Asheville NC,22,35.5950581,-82.5514869
Atlanta GA,36,33.7489954,-84.3879824
Austin TX,79,30.267153,-97.7430608
Baltimore MD,16,39.2903848,-76.6121893
Belle MO,23,38.2858788,-91.720442
Boston MA,218,42.3600825,-71.0588801
Brooklyn NY,89,40.6781784,-73.9441579
Buffalo NY,11,42.8864468,-78.8783689
Cambridge MA,21,42.3736158,-71.1097335
Charlotte NC,16,35.2270869,-80.8431267
Chicago IL,185,41.8781136,-87.6297982
Cleveland OH,28,41.49932,-81.6943605
Columbus OH,28,39.9611755,-82.9987942
Dallas TX,90,32.7766642,-96.7969879
Denver CO,51,39.7392358,-104.990251
Englewood FL,13,26.9620053,-82.3525952
Hoboken NJ,14,40.7439905,-74.0323626
Houston TX,70,29.7604267,-95.3698028
Irvine TX,12,32.8140177,-96.9488945
Las Vegas NV,50,36.1699412,-115.1398296
Long Island AZ,16,33.623715,-112.262192
Long Island NY,22,40.789142,-73.134961
Los Angeles CA,169,34.0522342,-118.2436849
McKinney TX,22,33.1972465,-96.6397822
Memphis TN,28,35.1495343,-90.0489801
Miami FL,11,25.7616798,-80.1917902
Minneapolis MN,12,44.977753,-93.2650108
Monterey County CA,11,36.3136201,-121.3541631
Nashville TN,45,36.1626638,-86.7816016
New Haven CT,18,41.308274,-72.9278835
New York NY,585,40.7127837,-74.0059413
Philadelphia PA,51,39.9525839,-75.1652215
Phoenix AZ,12,33.4483771,-112.0740373
Pittsburgh PA,17,40.4406248,-79.9958864
Plano TX,14,33.0198431,-96.6988856
Portland ME,14,43.661471,-70.2553259
Portland OR,16,45.5230622,-122.6764816
Providence RI,15,41.8239891,-71.4128343
Raleigh NC,28,35.7795897,-78.6381787
Rochester NY,12,43.16103,-77.6109219
San Diego CA,64,32.715738,-117.1610838
San Francisco CA,188,37.7749295,-122.4194155
Seattle WA,55,47.6062095,-122.3320708
St. Louis MO,11,38.6270025,-90.1994042
Tallahassee FL,22,30.4382559,-84.2807329
Vancouver WA,13,45.6387281,-122.6614861
Washington D.C.,326,38.9071923,-77.0368707
Wellesley MA,11,42.296797,-71.2923877